title,price,rating,cleaned_title,cleaned_rating,numeric_rating,sentiment,cluster
"In a Dark, Dark Wood",Â£19.63,1,in a dark dark wood,1,1,negative,0
Behind Closed Doors,Â£52.22,4,behind closed doors,4,4,positive,1
You can't bury them all: Poems,Â£33.63,2,you cant bury them all poems,2,2,negative,1
Slow States of Collapse: Poems,Â£57.31,3,slow states of collapse poems,3,3,neutral,1
Reasons to Stay Alive,Â£26.41,2,reasons to stay alive,2,2,negative,1
Private Paris (Private #10),Â£47.61,5,private paris private,5,5,positive,1
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â£23.11,5,higherselfie wake up your life free your soul find your tribe,5,5,positive,2
Without Borders (Wanderlove #1),Â£45.07,2,without borders wanderlove,2,2,negative,1
When We Collided,Â£31.77,1,when we collided,1,1,negative,1
"We Love You, Charlie Freeman",Â£50.27,5,we love you charlie freeman,5,5,positive,1
Untitled Collection: Sabbath Poems 2014,Â£14.27,4,untitled collection sabbath poems,4,4,positive,1
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â£44.18,4,unseen city the majesty of pigeons the discreet charm of snails other wonders of the urban wilderness,4,4,positive,1
Unicorn Tracks,Â£18.78,3,unicorn tracks,3,3,neutral,1
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Â£25.52,1,unbound how eight technologies made us human transformed society and brought our world to the brink,1,1,negative,1
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,1,tsubasa world chronicle tsubasa world chronicle,1,1,negative,1
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,3,throwing rocks at the google bus how growth became the enemy of prosperity,3,3,neutral,1
This One Summer,Â£19.49,4,this one summer,4,4,positive,1
Thirst,Â£17.27,5,thirst,5,5,positive,1
The Torch Is Passed: A Harding Family Story,Â£19.09,1,the torch is passed a harding family story,1,1,negative,1
The Secret of Dreadwillow Carse,Â£56.13,1,the secret of dreadwillow carse,1,1,negative,1
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Â£56.41,1,the pioneer woman cooks dinnertime comfort classics freezer food minute meals and other delicious ways to solve supper,1,1,negative,2
The Past Never Ends,Â£56.50,4,the past never ends,4,4,positive,1
The Natural History of Us (The Fine Art of Pretending #2),Â£45.22,3,the natural history of us the fine art of pretending,3,3,neutral,1
The Nameless City (The Nameless City #1),Â£38.16,4,the nameless city the nameless city,4,4,positive,1
The Murder That Never Was (Forensic Instincts #5),Â£54.11,3,the murder that never was forensic instincts,3,3,neutral,1
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Â£42.96,4,the most perfect thing inside and outside a birds egg,4,4,positive,1
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Â£23.89,4,the mindfulness and acceptance workbook for anxiety a guide to breaking free from anxiety phobias and worry using acceptance and commitment therapy,4,4,positive,1
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Â£16.77,3,the lifechanging magic of tidying up the japanese art of decluttering and organizing,3,3,neutral,1
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Â£20.59,5,the inefficiency assassin time management tactics for working smarter not longer,5,5,positive,1
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Â£37.13,1,the gutsy girl escapades for your life of epic adventure,1,1,negative,2
The Electric Pencil: Drawings from Inside State Hospital No. 3,Â£56.06,1,the electric pencil drawings from inside state hospital no,1,1,negative,1
The Death of Humanity: and the Case for Life,Â£58.11,4,the death of humanity and the case for life,4,4,positive,2
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Â£49.05,3,the bulletproof diet lose up to a pound a day reclaim energy and focus upgrade your life,3,3,neutral,2
The Art Forger,Â£40.76,3,the art forger,3,3,neutral,1
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Â£19.73,1,the age of genius the seventeenth century and the birth of the modern mind,1,1,negative,1
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Â£32.24,5,the activists tao te ching ancient advice for a modern revolution,5,5,positive,1
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Â£41.83,4,spark joy an illustrated master class on the art of organizing and tidying up,4,4,positive,1
Soul Reader,Â£39.58,2,soul reader,2,2,negative,1
Security,Â£39.25,2,security,2,2,negative,1
"Saga, Volume 6 (Saga (Collected Editions) #6)",Â£25.02,3,saga volume saga collected editions,3,3,neutral,1
"Saga, Volume 5 (Saga (Collected Editions) #5)",Â£51.04,2,saga volume saga collected editions,2,2,negative,1
Reskilling America: Learning to Labor in the Twenty-First Century,Â£19.83,2,reskilling america learning to labor in the twentyfirst century,2,2,negative,1
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Â£50.40,3,rat queens vol demons rat queens collected editions,3,3,neutral,1
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Â£13.61,5,princess jellyfish in omnibus vol princess jellyfish in omnibus,5,5,positive,1
Princess Between Worlds (Wide-Awake Princess #5),Â£13.34,5,princess between worlds wideawake princess,5,5,positive,1
"Pop Gun War, Volume 1: Gift",Â£18.97,1,pop gun war volume gift,1,1,negative,1
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Â£36.28,2,political suicide missteps peccadilloes bad calls backroom hijinx sordid pasts rotten breaks and just plain dumb mistakes in the annals of american politics,2,2,negative,1
Patience,Â£10.16,3,patience,3,3,neutral,1
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Â£15.44,4,outcast vol a darkness surrounds him outcast,4,4,positive,1
orange: The Complete Collection 1 (orange: The Complete Collection #1),Â£48.41,1,orange the complete collection orange the complete collection,1,1,negative,1
Online Marketing for Busy Authors: A Step-By-Step Guide,Â£46.35,1,online marketing for busy authors a stepbystep guide,1,1,negative,1
On a Midnight Clear,Â£14.07,3,on a midnight clear,3,3,neutral,1
Obsidian (Lux #1),Â£14.86,2,obsidian lux,2,2,negative,1
My Paris Kitchen: Recipes and Stories,Â£33.37,2,my paris kitchen recipes and stories,2,2,negative,1
Masks and Shadows,Â£56.40,2,masks and shadows,2,2,negative,1
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Â£14.02,4,mama tried traditional italian cooking for the screwed crude vegan and tattooed,4,4,positive,1
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Â£46.91,2,lumberjanes vol friendship to the max lumberjanes,2,2,negative,1
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Â£45.61,3,lumberjanes vol beware the kitten holy lumberjanes,3,3,neutral,1
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Â£19.92,2,lumberjanes vol a terrible plan lumberjanes,2,2,negative,1
"Layered: Baking, Building, and Styling Spectacular Cakes",Â£40.11,1,layered baking building and styling spectacular cakes,1,1,negative,1
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Â£53.90,2,judo seven steps to black belt an introductory guide for beginners,2,2,negative,1
Join,Â£35.67,5,join,5,5,positive,1
In the Country We Love: My Family Divided,Â£22.00,4,in the country we love my family divided,4,4,positive,1
